Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số ca chuyển tuyến,Số ca vượt tuyến,Lượt điều trị,Lượt tái khám,Lượt KCB BHYT,Số ca mắc mới
01/01/2025,75,Đồng Nai,26008,Phường Tân Hiệp,0.0,0.0,1.0,0.0,1.0,1.0
01/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,10.0,0.0,10.0,10.0
01/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,70.0,0.0,70.0,70.0
01/01/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,77.0,0.0,77.0,77.0
01/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,87.0,0.0,87.0,87.0
01/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,11.0,0.0,11.0,11.0
01/02/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,118.0,6.0,118.0,118.0
01/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,130.0,0.0,130.0,130.0
01/03/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,89.0,2.0,89.0,89.0
01/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,79.0,0.0,79.0,79.0
01/04/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,76.0,0.0,76.0,76.0
01/04/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,4.0,0.0,4.0,4.0
01/04/2025,75,Đồng Nai,26008,Phường Tân Hiệp,0.0,0.0,1.0,0.0,1.0,1.0
01/04/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,9.0,0.0,9.0,9.0
01/04/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,101.0,0.0,101.0,101.0
01/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,393.0,0.0,393.0,393.0
01/04/2025,75,Đồng Nai,26170,Thị Trấn Vĩnh An,0.0,0.0,9.0,0.0,9.0,9.0
01/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,22.0,0.0,22.0,22.0
01/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,10.0,0.0,10.0,10.0
01/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,7.0,0.0,458.0,0.0,458.0,458.0
01/04/2025,75,Đồng Nai,26320,Xã Lộ 25,0.0,0.0,11.0,0.0,11.0,11.0
01/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,490.0,0.0,490.0,490.0
01/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,37.0,0.0,37.0,37.0
01/04/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,2.0,0.0,2.0,2.0
01/04/2025,75,Đồng Nai,26383,Xã An Phước,0.0,0.0,3.0,0.0,3.0,3.0
01/04/2025,75,Đồng Nai,26452,Xã Suối Cát,26.0,0.0,615.0,107.0,615.0,615.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1.0,0.0,27.0,0.0,27.0,27.0
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,6.0,0.0,6.0,6.0
01/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,12.0,0.0,12.0,12.0
01/05/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,184.0,0.0,184.0,184.0
01/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,31.0,0.0,31.0,31.0
01/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,83.0,0.0,83.0,83.0
01/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,6.0,0.0,6.0,6.0
01/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,84.0,0.0,84.0,84.0
01/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,89.0,0.0,89.0,89.0
