Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Tổng chi phí bảo hiểm,Tổng chi phí thuốc,Tổng chi phí thuốc BHYT
01/01/2025,75,Đồng Nai,26008,Phường Tân Hiệp,0.0,0.0,0.0
01/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
01/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
01/01/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
01/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,0.0,0.0,0.0
01/02/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
01/03/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26008,Phường Tân Hiệp,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26170,Thị Trấn Vĩnh An,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26320,Xã Lộ 25,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,1938430.0,0.0,0.0
01/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26383,Xã An Phước,0.0,0.0,0.0
01/04/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26095,Phường Suối Tre,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26377,Phường Phước Tân,0.0,0.0,0.0
01/05/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,25996,Phường Tân Phong,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,25999,Phường Tân Biên,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26017,Phường Tam Hiệp,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26029,Phường Thống Nhất,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26050,Phường An Bình,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26056,Phường Long Bình Tân,112048252.0,0.0,0.0
01/06/2025,75,Đồng Nai,26068,Phường Hóa An,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26095,Phường Suối Tre,823901386.0,0.0,0.0
01/06/2025,75,Đồng Nai,26188,Xã Thạnh Phú,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,4968000.0,0.0,0.0
01/06/2025,75,Đồng Nai,26239,Xã Túc Trưng,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26272,Xã Hố Nai 3,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26296,Xã An Viễn,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26299,Xã Gia Tân 1,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26311,Xã Quang Trung,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26317,Xã Hưng Lộc,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,15192409.0,0.0,0.0
01/06/2025,75,Đồng Nai,26362,Xã Sông Ray,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,13149028.4,0.0,0.0
01/06/2025,75,Đồng Nai,26374,Phường Tam Phước,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26377,Phường Phước Tân,16404320.0,0.0,0.0
01/06/2025,75,Đồng Nai,26416,Xã Phước Bình,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26440,Xã Xuân Trường,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26452,Xã Suối Cát,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,0.0,0.0,0.0
01/06/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,0.0,0.0,0.0
01/07/2024,75,Đồng Nai,26035,Phường Tam Hòa,0.0,0.0,0.0
01/07/2025,75,Đồng Nai,25993,Phường Trảng Dài,7506929.0,0.0,0.0
01/07/2025,75,Đồng Nai,25996,Phường Tân Phong,101341988.68,0.0,0.0
01/07/2025,75,Đồng Nai,26002,Phường Hố Nai,13760268.0,0.0,0.0
01/07/2025,75,Đồng Nai,26008,Phường Tân Hiệp,565100.0,0.0,0.0
01/07/2025,75,Đồng Nai,26017,Phường Tam Hiệp,24250612.0,0.0,0.0
01/07/2025,75,Đồng Nai,26029,Phường Thống Nhất,118571673.93,0.0,0.0
01/07/2025,75,Đồng Nai,26035,Phường Tam Hòa,151800.0,0.0,0.0
01/07/2025,75,Đồng Nai,26050,Phường An Bình,5378674.0,0.0,0.0
01/07/2025,75,Đồng Nai,26056,Phường Long Bình Tân,1451813005.0,0.0,0.0
01/07/2025,75,Đồng Nai,26068,Phường Hóa An,51105629.0,0.0,0.0
01/07/2025,75,Đồng Nai,26095,Phường Suối Tre,1403166047.8,0.0,0.0
01/07/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,135916640.0,0.0,0.0
01/07/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,511638383.0,0.0,0.0
01/07/2025,75,Đồng Nai,26272,Xã Hố Nai 3,379210076.0,0.0,0.0
01/07/2025,75,Đồng Nai,26275,Xã Tây Hoà,956910.0,0.0,0.0
01/07/2025,75,Đồng Nai,26296,Xã An Viễn,49629963.0,0.0,0.0
01/07/2025,75,Đồng Nai,26299,Xã Gia Tân 1,36277699.0,0.0,0.0
01/07/2025,75,Đồng Nai,26311,Xã Quang Trung,45420603.0,0.0,0.0
01/07/2025,75,Đồng Nai,26317,Xã Hưng Lộc,35311136.0,0.0,0.0
01/07/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,33575934.0,0.0,0.0
01/07/2025,75,Đồng Nai,26362,Xã Sông Ray,46412172.0,0.0,0.0
01/07/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,544217662.2,0.0,0.0
01/07/2025,75,Đồng Nai,26374,Phường Tam Phước,35313540.0,0.0,0.0
01/07/2025,75,Đồng Nai,26377,Phường Phước Tân,41660449.0,0.0,0.0
01/07/2025,75,Đồng Nai,26416,Xã Phước Bình,13553950.0,0.0,0.0
01/07/2025,75,Đồng Nai,26452,Xã Suối Cát,353948609.6,0.0,0.0
01/07/2025,75,Đồng Nai,26455,Xã Xuân Hiệp,98605267.0,0.0,0.0
01/07/2025,75,Đồng Nai,26497,Xã Vĩnh Thanh,15745725.0,0.0,0.0
01/08/2024,75,Đồng Nai,26248,Thị Trấn Trảng Bom,0.0,0.0,0.0
01/08/2025,75,Đồng Nai,25993,Phường Trảng Dài,37206859.0,0.0,0.0
01/08/2025,75,Đồng Nai,25996,Phường Tân Phong,32654413.26,0.0,0.0
01/08/2025,75,Đồng Nai,26017,Phường Tam Hiệp,14918573.0,0.0,0.0
01/08/2025,75,Đồng Nai,26029,Phường Thống Nhất,32302742.54,0.0,0.0
01/08/2025,75,Đồng Nai,26050,Phường An Bình,22002336.0,0.0,0.0
01/08/2025,75,Đồng Nai,26056,Phường Long Bình Tân,665699742.0,0.0,0.0
01/08/2025,75,Đồng Nai,26068,Phường Hóa An,80258119.0,0.0,0.0
01/08/2025,75,Đồng Nai,26095,Phường Suối Tre,1085995838.1,0.0,0.0
01/08/2025,75,Đồng Nai,26188,Xã Thạnh Phú,78194452.0,0.0,0.0
