Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Số lượng cơ sở khám chữa bệnh,Tên cơ sở khám chữa bệnh,Số ca nội trú
01/01/2025,75,Đồng Nai,26008,Phường Tân Hiệp,1,Khác,0.0
01/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1,Khác,0.0
01/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,1,Khác,0.0
01/01/2025,75,Đồng Nai,26452,Xã Suối Cát,1,Khác,0.0
01/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1,Khác,0.0
01/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,1,Khác,0.0
01/02/2025,75,Đồng Nai,26452,Xã Suối Cát,1,Khác,0.0
01/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1,Khác,0.0
01/03/2025,75,Đồng Nai,26452,Xã Suối Cát,1,Khác,0.0
01/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,1,Khác,0.0
01/04/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,0.0
01/04/2025,75,Đồng Nai,25999,Phường Tân Biên,1,Khác,0.0
01/04/2025,75,Đồng Nai,26008,Phường Tân Hiệp,1,Khác,0.0
01/04/2025,75,Đồng Nai,26068,Phường Hóa An,1,Khác,0.0
01/04/2025,75,Đồng Nai,26095,Phường Suối Tre,1,Khác,0.0
01/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,1,Khác,0.0
01/04/2025,75,Đồng Nai,26170,Thị Trấn Vĩnh An,1,Khác,0.0
01/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,1,Khác,0.0
01/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,1,Khác,0.0
01/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,1,Khác,0.0
01/04/2025,75,Đồng Nai,26320,Xã Lộ 25,1,Khác,0.0
01/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,1,Khác,0.0
01/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,1,Khác,0.0
01/04/2025,75,Đồng Nai,26377,Phường Phước Tân,1,Khác,0.0
01/04/2025,75,Đồng Nai,26383,Xã An Phước,1,Khác,0.0
01/04/2025,75,Đồng Nai,26452,Xã Suối Cát,1,Khác,0.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,3.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,749.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,50.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,134.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,62.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,114.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,21.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,58.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,199.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,8.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,68.0
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,1,Khác,97.0
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,1,benh vien au co,21.0
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,1,benh vien au co,21.0
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,1,benh vien au co,21.0
