Ngày,Mã tỉnh,Tên tỉnh,Mã phường,Tên phường,Lượt khám chữa bệnh
01/01/2025,75,Đồng Nai,26008,Phường Tân Hiệp,1
01/01/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,10
01/01/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,70
01/01/2025,75,Đồng Nai,26452,Xã Suối Cát,77
01/02/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,87
01/02/2025,75,Đồng Nai,26341,Thị Trấn Long Giao,11
01/02/2025,75,Đồng Nai,26452,Xã Suối Cát,118
01/03/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,130
01/03/2025,75,Đồng Nai,26452,Xã Suối Cát,89
01/04/2025,75,Đồng Nai,25993,Phường Trảng Dài,79
01/04/2025,75,Đồng Nai,25996,Phường Tân Phong,76
01/04/2025,75,Đồng Nai,25999,Phường Tân Biên,4
01/04/2025,75,Đồng Nai,26008,Phường Tân Hiệp,1
01/04/2025,75,Đồng Nai,26068,Phường Hóa An,9
01/04/2025,75,Đồng Nai,26095,Phường Suối Tre,101
01/04/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,393
01/04/2025,75,Đồng Nai,26170,Thị Trấn Vĩnh An,9
01/04/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,22
01/04/2025,75,Đồng Nai,26248,Thị Trấn Trảng Bom,10
01/04/2025,75,Đồng Nai,26272,Xã Hố Nai 3,458
01/04/2025,75,Đồng Nai,26320,Xã Lộ 25,11
01/04/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,490
01/04/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,37
01/04/2025,75,Đồng Nai,26377,Phường Phước Tân,2
01/04/2025,75,Đồng Nai,26383,Xã An Phước,3
01/04/2025,75,Đồng Nai,26452,Xã Suối Cát,615
01/05/2025,75,Đồng Nai,25996,Phường Tân Phong,27
01/05/2025,75,Đồng Nai,25999,Phường Tân Biên,6
01/05/2025,75,Đồng Nai,26029,Phường Thống Nhất,12
01/05/2025,75,Đồng Nai,26095,Phường Suối Tre,184
01/05/2025,75,Đồng Nai,26116,Thị Trấn Tân Phú,31
01/05/2025,75,Đồng Nai,26206,Thị Trấn Định Quán,83
01/05/2025,75,Đồng Nai,26272,Xã Hố Nai 3,6
01/05/2025,75,Đồng Nai,26326,Thị Trấn Dầu Giây,84
01/05/2025,75,Đồng Nai,26368,Thị Trấn Long Thành,89
01/05/2025,75,Đồng Nai,26377,Phường Phước Tân,2
